question,option,class
How is your digestion?,Irregular,Vata
How is your digestion?,Fairly good,Pitta
How is your digestion?,Strong digestion,Kapha
How is the quality and quantity of your hair on your scalp?,Light-soft-shiny-little baldness,Pitta
How is the quality and quantity of your hair on your scalp?,Less growth-dry-weak hair,Vata
How is the quality and quantity of your hair on your scalp?,Long-soft-dense-thick hair,Kapha
How is your skin complexion?,Dry and rough,Vata
How is your skin complexion?,Fair and sensitive,Pitta
How is your skin complexion?,Oily and smooth,Kapha
How would you describe your body temperature?,Cold hands and feet,Vata
How would you describe your body temperature?,Warm prone to sweating,Pitta
How would you describe your body temperature?,Steady and warm,Kapha
How is your energy level?,Easily fatigued,Vata
How is your energy level?,Moderate and consistent,Pitta
How is your energy level?,Steady and abundant,Kapha
How do you handle stress?,Anxious and worried,Vata
How do you handle stress?,Angry and irritable,Pitta
How do you handle stress?,Calm and patient,Kapha
How is your sleep pattern?,Light and restless,Vata
How is your sleep pattern?,Interrupted but sound,Pitta
How is your sleep pattern?,Deep and prolonged,Kapha
How is your appetite?,Variable and often forget to eat,Vata
How is your appetite?,Strong and always hungry,Pitta
How is your appetite?,Steady and not very hungry,Kapha
How is your vision?,Blurry and sensitive to light,Vata
How is your vision?,Sharp but can be sensitive to glare,Pitta
How is your vision?,Steady and clear,Kapha
How is your flexibility?,Stiff and easily get muscle cramps,Vata
How is your flexibility?,Moderate and prone to inflammation,Pitta
How is your flexibility?,Supple and rarely experience stiffness,Kapha
How is your ability to concentrate?,Easily distracted and forgetful,Vata
How is your ability to concentrate?,Focused but can become intense,Pitta
How is your ability to concentrate?,Steady and patient,Kapha
How do you handle spicy food?,Avoids spices prefers bland food,Vata
How do you handle spicy food?,Loves very spicy food,Pitta
How do you handle spicy food?,Moderate spice tolerance prefers balanced flavors,Kapha
How do you respond to stress?,Nervous and anxious,Vata
How do you respond to stress?,Irritable and short-tempered,Pitta
How do you respond to stress?,Calm and composed,Kapha
How do you react to cold weather?,Dislikes cold weather feels chilly easily,Vata
How do you react to cold weather?,Tolerates cold but prefers warmth,Pitta
How do you react to cold weather?,Comfortable in cold climates,Kapha
How is your hair texture?,Dry and frizzy,Vata
How is your hair texture?,Fine and prone to oiliness,Pitta
How is your hair texture?,Thick and lustrous,Kapha
How do you approach physical activity?,Enjoys variety prone to sporadic exercise,Vata
How do you approach physical activity?,Intense workouts and competition,Pitta
How do you approach physical activity?,Regular moderate exercise routine,Kapha
How is your memory recall?,Quick but forgets easily,Vata
How is your memory recall?,Sharp and remembers well,Pitta
How is your memory recall?,Steady and rarely forgets,Kapha
How do you react to loud noise?,Sensitive to noise easily disturbed,Vata
How do you react to loud noise?,Tolerant but can get irritated,Pitta
How do you react to loud noise?,Calm and unaffected,Kapha
How is your reaction to caffeine?,Sensitive gets jittery easily,Vata
How is your reaction to caffeine?,Tolerant but can get hyper,Pitta
How is your reaction to caffeine?,Steady doesn't experience caffeine rush,Kapha
How is your appetite for sweets?,Variable occasional cravings,Vata
How is your appetite for sweets?,Loves sweet treats,Pitta
How is your appetite for sweets?,Moderate prefers savory snacks,Kapha
How is your tolerance to heat?,Intolerant to heat prone to sunburn,Vata
